Location	Area	Latitude	Longitude	Lat-decimal	Long.-decimal	Elevation	ID	4 Letter ID	LDM ID	Node	Logger ID	SHEF ID
10WSW Guthrie	Guthrie/King County	N33º 34' 01.30"	W100º 28' 50.20"	33.56703	-100.48061	1998 ft.	PITC	KPFS	XPFS	1398	34	PFST2
3N Hart	Hart/Castro County	N34º 25' 23.50"	W102º 06' 26.45"	34.42319	-102.10735	3694 ft.	HART	KHRS	XHRS	20	19	HAST2
1NW  Haskell	Haskell/Haskell County	N33º 10' 29.02"	W99º 44' 39.13"	33.17473	-99.74420	1605 ft.	HASK	KHA1	XHA1	1420	56	HAXT2
2NW Hereford	Hereford/Deaf Smith	N34º 49' 50.70"	W102º 25' 29.40"	34.83075	-102.42483	3863 ft	HERE	KHES	XHES	1406	42	HEST2
5NW Hobbs NM	Hobbs, NM/ Lea County	N32º 45' 40.22"	W103º 11' 29.64"	32.76117	-103.19157	3691 ft	NMJC	KHO1	XHO1	1483	66	HCYN5
1SSE Jayton	Jayton (Kent Co. Airport)	N33º 13' 56.691"	W100º 34' 03.992"	33.23241	-100.56778	2010 ft.	JAYT	KJTS	XJTS	1404	39	JTST2
1SSW Junction	Junction (Kimble County)	N30º 28' 12.60"	W99º 46' 49.29"	30.47017	-99.78036	1720 ft.	JUNC	KJU1	XJU1	1482	65	TTJT2
3NW Knox City	Knox City/Knox County	N33º 26' 40.40"	W99º 51' 53.89"	33.44557	-99.86497	1470 ft.	KNOX	KKN1	XKN1	1423	59	KXST2
1NW Lake Alan Henry	Eastern Garza County	N33º 04' 37.67"	W101º 03' 28.10"	33.07717	-101.05789	2321 ft.	ALAN	KAHS	XAHS	1410	46	LHST2
2SE Lamesa	Lamesa/Dawson County	N32º 42' 21.30"	W101º 56' 10.20"	32.70592	-101.93617	2956 ft.	LAMS	KLES	XLES	1381	18	LMST2
4S Levelland	Levelland/Hockley County	N33º 31' 35.40"	W102º 21' 36.00"	33.52650	-102.36000	3496 ft.	LEVE	KLDS	XLDS	16	6	LDST2
1SSE Lomax	Lomax/Howard County	N32º 06' 13.86"	W101º 37' 58.31"	32.10385	-101.63286	2509 ft.	LOMA	KLO1	XLO1	 	 
3WNW Lubbock-TTU	Lubbock/Lubbock County	N33º 36' 14.70"	W101º 53' 57.10"	33.60408	-101.89919	3232 ft.	LBBW2	KLBW	XLBW	1397	33	LWST2
1E McLean	McLean/Gray County	N35º 14' 13.90"	W100º 34' 29.70"	35.23719	-100.57492	2863 ft.	MCLE	KMCS	XMCS	1408	44	MCST2
1NE Memphis	Memphis/Hall County	N34º 43' 52.90"	W100º 31' 31.55"	34.73136	-100.52543	2057 ft.	MEMP	KMES	XMES	1409	38	MEST2
3NNE Mertzon	Mertzon/Irion County	N31º 17' 57.01"	W100º 48' 19.40"	31.29917	-100.80539	2174 ft.	MERT	KME1	XME1	1489	71	MZST2
1ENE Morton	Morton/Cochran County	N33º 44' 05.16"	W102º 44' 23.22"	33.73476	-102.73978	3754 ft.	MORT	KMNS	XMNS	1375	12	MNST2
2SSW Muleshoe	Muleshoe/Bailey County	N34º 12' 22.86"	W102º 44' 32.64"	34.20635	-102.74240	3806 ft.	MULE	KMUS	XMUS	1373	11	MUST2
1S Northfield	Northfield/Motley County	N34º 16' 22.90"	W100º 36' 16.00"	34.27303	-100.60444	2088 ft.	NORT	KNOR	XNOR	1416	52	NORT2
4ENE Odell	Odell/Wilbarger County	N34º 21' 55.18"	W  99º 21' 14.92" 	34.36533	-99.35414	1371 ft	ODEL	KOD1	XOD1	1425	62	OLST2
1N O'Donnell	O'Donnell/Lynn County	N32º 58' 47.55"	W101º 49' 55.90"	32.97988	-101.83220	3054 ft.	ODON2	KOES	XOES	18	14	OEST2
6S of Olton	Olton/Lamb County	N34º 05' 37.63"	W102º 07' 05.09"	34.09378	-102.11808	3566 ft.	OLTO	KONS	XONS	19	130	ONST2
10SW Paducah	Paducah/Cottle County	N33º 53' 25.90"	W100º 23' 55.90"	33.89053	-100.39886	2021 ft.	PADU	KPAD	XPAD	1400	36	PADT2
2E Pampa	Pampa/Gray County	N35º 32' 22.20''	W100º 55' 39.80"	35.53950	-100.92772	3216 ft.	PAMP	KPMS	XPMS	1405	40	PAMT2
Persimmon Gap, BBNP	Big Bend NP/Brewster County	N29º 39' 37.40"	W103º 10' 30.43"	29.66039	-103.17512	2869 ft.	PGAP	KPG1	XPG1	1488	72	PGPT2
Pine Springs, GMNP	Guadalupe Mtns NP/Culberson	N31º 53' 28.752"	W104º 48' 35.892"	31.89132	-104.80997	5571 ft.	GUMO	KGU1	XGU1	1424	60	PSST2
3N Plains	Plains/Yoakum County	N33º 13' 41.30"	W102º 50' 21.70"	33.22814	-102.83936	3711 ft.	PLAI	KPPS	XPPS	1380	17	PPST2
1S Plainview	Plainview/Hale County	N34º 10' 43.38"	W101º 42' 28.38"	34.17872	-101.70788	3358 ft.	PLVW	KPVS	XPVS	1367	3	PVST2
1NE Post	Post/Garza County	N33º 12' 01.20"	W101º 22' 04.95"	33.20033	-101.36804	2598 ft.	POST2	KPT1	XPTS	1387	24	PTST2
3NNW Quitaque	Caprock Canyons SP/Briscoe	N34º 24' 45.10"	W101º 04' 06.15"	34.41253	-101.06838	2650 ft.	CAPR	KQU1	XQU1	1427	61	CATT2
1SE Ralls	Ralls/Crosby County	N33º 40' 06.24"	W101º 22' 32.76"	33.66840	-101.37576	3097 ft.	RALL	KRLS	XRLS	14	9	RAST2
12W Lubbock (Reese)	Reese Center/Lubbock County	N33º 36' 27.32"	W102º 02' 45.50"	33.60759	-102.04597	3343 ft.	REES2	KREE	XREE	1364	1	REST2
3N Roaring Springs	Roaring S./Motley County	N33º 56' 10.86"	W100º 50' 43.38"	33.93635	-100.84540	2615 ft.	ROAR	KRRS	XRRS	1372	7	RRST2
7NW San Angelo	San Angelo/Tom Green	N31º 32' 33.45"	W100º 30' 47.80"	31.54263	-100.51328	1957 ft.	SASU	KASU	XASU	1418	54	SJST2
1SW Seagraves	Seagraves/Gaines County	N32º 56' 11.20"	W102º 34' 27.90"	32.93644	-102.57442	3360 ft.	SEAG	KSGV	XSGV	1392	15	SGST2
2NNE Seminole	Seminole/Gaines County	N32º 44' 26.70"	W102º 38' 08.90"	32.74075	-102.63581	3313 ft.	SEMI	KSM1	XSMS	1388	25	SMST2
3NW Seymour	Seymour/Baylor County	N33º 37' 56.40"	W99º 17' 27.52"	33.63233	-99.29098	1302 ft	SEYM	KSE1	XSE1	1422	58	SEST2
7ESE Silverton 	Silverton/Briscoe County	N34º 26' 43.60"	W101º 11' 25.68"	34.44540	-101.19050	3202 ft.	SILV	KSVS	XSVS	1386	23	STST2
2NE Slaton	Slaton/Lubbock County	N33º 27' 24.84"	W101º 37' 02.04"	33.45690	-101.61723	3065 ft.	SLAT	KSLS	XSLS	1368	5	SLST2
3E Snyder	Snyder/Scurry County	N32º 42' 58.10"	W100º 51' 42.00"	32.71614	-100.86167	2431 ft.	SNYD	KSYS	XSYS	1401	37	SYST2
1W Spur	Spur/Dickens County	N33º 28' 51.05"	W100º 52' 34.90"	33.48085	-100.87636	2287 ft.	SPUR	KSP1	XSPR	1396	32	SPST2
4WSW Sterling City	Sterling City/Sterling County	N31º 49' 33.96"	W101º 03' 19.37"	31.82610	-101.05538	2354 ft.	STER	KSC1	XSC1	1487	70	XSCT2
5SW St. Lawrence	St. Lawrence/Glasscock County	N31º 39' 23.21"	W101º 36' 00.67"	31.65645	-101.60019	2693 ft.	STLW	KST1	XST1	1419	55	GCMT2
11SW Sweetwater	Roscoe/Western Nolan County	N32º 20' 45.13"	W100º 31' 40.02"	32.34587	-100.52778	2485 ft	SWEE	KSW1	XSW1	 	 
8WSW Sundown	Southeast Cochran County	N33º 23' 21.00"	W102º 36' 35.80"	33.38912	-102.60994	3625 ft.	MALL	KSDS	XSDS	1395	29	SDST2
3NNE Tahoka	Tahoka/Lynn County	N33º 12' 26.88"	W101º 46' 48.90"	33.20747	-101.78025	3104 ft.	TAHO	KTAS	XTAS	13	4	TAST2
2SW Tatum NM	Tatum, NM/Lea County	N33º 14' 19.60"	W103º 21' 07.60"	33.23877	-103.35211	4018 ft	TATU	KTAT	XTAT	1415	51	TTSN5
2ENE Tulia	Tulia/Swisher County	N34º 32' 34.60"	W101º 44' 25.80"	34.54294	-101.74050	3478 ft.	TULI	KTIS	XTIS	1385	22	TLST2
2WSW Turkey	Turkey/Hall County	N34º 22' 44.25"	W100º 55' 54.30"	34.37896	-100.93175	2450 ft.	VALL	KTUR	XTUR	1413	49	TUST2
3NNE Umbarger	Umbarger/Randall County	N34º 59' 12.58"	W102º 05' 02.79"	34.98683	-102.08411	3758 ft	UMBA	KUM1	XUM1	 	 
1E Wall	Wall/Tom Green County	N31º 22' 29.02"	W100º 17' 16.22"	31.37473	-100.28784	1874 ft	WALL	KWA1	XWA1	1421	57	WGST2
2NNE Weinert	Weinert/Haskell County	N33º 20' 40.85"	W99º 39' 57.24"	33.34468	-99.66590	1504 ft	WEIN	KWE1	XWE1	1490	73	EIST2
6NW White River Lake	White River Lake/Crosby County	N33º 31' 31.20"	W101º 09' 54.20"	33.52533	-101.16506	2704 ft.	WHIT	KWVS	XWVS	1390	27	WLST2
6SSW Wolfforth	Wolfforth/Lubbock County	N33º 25' 14.45"	W102º 02' 59.40	33.42068	-102.04983	3307 ft.	WOLF	KWOS	XWOS	1411	47	WOST2
	

